"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"Frekwencja";"Procent głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Procent głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KOMITET WYBORCZY NOWA LEWICA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KOMITET WYBORCZY POLSKA JEST JEDNA";"KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU";"KOMITET WYBORCZY NORMALNY KRAJ";"KOMITET WYBORCZY ANTYPARTIA";"KOMITET WYBORCZY RUCH NAPRAWY POLSKI";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA"
"dolnośląskie";2291;2291;"73,97";"1,58";"58,77";"41,23";"0,00";"98,42";"2,81";"12,48";"10,09";"30,56";"6,58";"36,00";"1,48";;;;;
"kujawsko-pomorskie";1917;1917;"71,75";"2,08";"57,82";"37,51";"4,67";"97,92";"1,56";"15,37";"10,59";"32,27";"6,39";"32,26";"1,36";"0,21";;;;
"lubelskie";2181;2181;"70,51";"1,83";"55,44";"38,76";"5,80";"98,17";"1,80";"14,70";"5,68";"47,66";"8,14";"19,11";"2,52";"0,40";;;;
"lubuskie";883;883;"71,37";"2,35";"58,64";"32,08";"9,29";"97,65";"2,31";"15,07";"9,27";"27,76";"6,51";"37,73";"1,12";;;"0,22";;
"łódzkie";1927;1927;"76,12";"1,73";"51,79";"40,29";"7,93";"98,27";"1,65";"13,42";"8,82";"38,11";"6,64";"29,69";"1,35";"0,32";;;;
"małopolskie";2715;2715;"75,38";"1,43";"54,72";"41,06";"4,22";"98,57";"1,75";"15,72";"6,93";"41,72";"8,02";"23,49";"2,37";;;;;
"mazowieckie";3926;3926;"79,27";"1,31";"53,92";"43,26";"2,82";"98,69";"1,83";"14,83";"8,48";"34,86";"6,97";"31,50";"1,42";"0,06";"0,03";;"0,03";
"opolskie";1021;1021;"66,55";"2,17";"64,34";"35,66";"0,00";"97,83";"1,57";"12,74";"7,24";"31,26";"6,49";"33,59";"1,74";;;;;"5,37"
"podkarpackie";1928;1928;"69,98";"1,48";"58,70";"41,30";"0,00";"98,52";"1,74";"12,96";"4,71";"52,83";"9,14";"16,97";"1,45";"0,20";;;;
"podlaskie";1066;1066;"70,30";"1,64";"50,29";"40,16";"9,55";"98,36";"1,16";"18,86";"4,84";"42,39";"9,79";"20,84";"1,64";"0,47";;;;
"pomorskie";1692;1692;"75,29";"1,56";"54,14";"39,84";"6,02";"98,44";"1,54";"14,12";"8,84";"27,33";"6,74";"39,71";"1,73";;;;;
"śląskie";2868;2868;"74,53";"1,45";"53,77";"41,95";"4,27";"98,55";"1,86";"13,05";"10,36";"33,50";"6,98";"32,11";"2,10";;"0,05";;;
"świętokrzyskie";1202;1202;"71,09";"2,00";"52,67";"39,38";"7,94";"98,00";"2,88";"13,80";"6,83";"47,07";"6,55";"20,93";"1,38";"0,35";"0,20";;;
"warmińsko-mazurskie";1293;1293;"67,90";"2,66";"59,27";"32,44";"8,29";"97,34";"1,75";"15,80";"8,10";"33,57";"6,77";"32,55";"1,32";;"0,14";;;
"wielkopolskie";2781;2781;"76,10";"2,11";"58,81";"34,00";"7,20";"97,89";"2,04";"16,69";"9,73";"30,12";"6,63";"33,61";"1,08";"0,11";;;;
"zachodniopomorskie";1382;1382;"71,76";"2,07";"63,05";"36,95";"0,00";"97,93";"1,63";"12,52";"9,14";"29,73";"5,97";"39,60";"1,16";"0,25";;;;
