Film;Year;Title song;UK peak position;US peak position
"Dr. No
";1962;"""James Bond Theme""";13;—
"Dr. No
";1962;"""Kingston Calypso"" 1. The 'Kingston Calypso' is a.k.a. 'Three Blind Mice'";—;—
"From Russia with Love
";1963;"""Opening Titles: James Bond Is Back/From Russia with Love/James Bond Theme""";20;—
"Goldfinger
";1964;"""Goldfinger""";21;8
"Thunderball
";1965;"""Thunderball""";35;25
"You Only Live Twice
";1967;"""You Only Live Twice""";11;44
"On Her Majesty's Secret Service
";1969;"""On Her Majesty's Secret Service""";—;—
"On Her Majesty's Secret Service
";1969;"""We Have All the Time in the World""
(secondary theme)";3;—
"Diamonds Are Forever
";1971;"""Diamonds Are Forever""";38;57
"Live and Let Die
";1973;"""Live and Let Die""";9;2
"The Man with the Golden Gun
";1974;"""The Man with the Golden Gun""";—;—
"The Spy Who Loved Me
";1977;"""Nobody Does It Better""";7;2
"Moonraker
";1979;"""Moonraker""";—;—
"For Your Eyes Only
";1981;"""For Your Eyes Only""";8;4
"Octopussy
";1983;"""All Time High""";75;36
"A View to a Kill
";1985;"""A View to a Kill""";2;1
"The Living Daylights
";1987;"""The Living Daylights""";5;—
"Licence to Kill
";1989;"""Licence to Kill""";6;—
"GoldenEye
";1995;"""GoldenEye""";10;102
"Tomorrow Never Dies
";1997;"""Tomorrow Never Dies""";12;—
"The World Is Not Enough
";1999;"""The World Is Not Enough""";11;—
"Die Another Day
";2002;"""Die Another Day""";3;8
"Casino Royale
";2006;"""You Know My Name""";7;79
"Quantum of Solace
";2008;"""Another Way to Die""";9;81
"Skyfall
";2012;"""Skyfall""";2;8
"Spectre
";2015;"""Writing's on the Wall""";1;71
"No Time to Die
";2020;"""No Time to Die""";1;16
