Film;Year;Time_min
Dr. No;1962;110
From Russia with Love;1963;115
Goldfinger;1964;110
Thunderball;1965;130
You Only Live Twice;1967;117
On Her Majesty's Secret Service;1969;142
Diamonds Are Forever;1971;120
Live and Let Die;1973;121
The Man with the Golden Gun;1974;125
The Spy Who Loved Me;1977;125
Moonraker;1979;126
For Your Eyes Only;1981;127
Octopussy;1983;131
A View to a Kill;1985;131
The Living Daylights;1987;130
Licence to Kill;1989;133
GoldenEye;1995;130
Tomorrow Never Dies;1997;119
The World Is Not Enough;1999;128
Die Another Day;2002;133
Casino Royale;2006;144
Quantum of Solace;2008;106
Skyfall;2012;143
Spectre;2015;148
No Time to Die;2021;163
