Country;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Belgium;184033;180431;190865;201054;213934;217639;223198;228753;0;0;0;0;0;0;0;0;0;0;0
Bulgaria;0;0;34089;33242;33724;31348;30079;29287;26508;26059;24615;22518;21425;21195;21329;21329;16808;17142;23065
Czechia;180282;180266;183027;184184;177257;164813;164642;167789;172580;174189;175705;176146;178766;182724;189288;193569;129308;135083;174327
Denmark;168552;171377;174573;174940;179750;184225;185947;194428;201899;206160;208311;212253;211399;206566;205307;206601;133900;134076;301567
Germany;2091268;2130469;2228926;2226952;2336683;2323243;2368375;2530284;2564498;2612764;2693080;2684908;2813782;2831443;2880558;2938023;1752198;1761388;2505856
Estonia;5274;5159;5302;5442;5285;4894;4799;4758;4411;4199;5905;6659;6926;7433;7759;8373;5984;6077;7129
Ireland;34555;37655;43352;45511;44647;38812;38226;37375;36918;37130;38517;39660;42820;45505;47960;50060;17930;17411;35845
Greece;9483;9959;9520;13212;16050;14281;13817;13305;12658;13195;13399;16040;15582;15359;16795;19599;10220;10029;15421
Spain;593847;615685;628832;620421;614514;578265;563505;579174;568596;563269;563801;567854;575572;600296;601912;634954;333397;418501;554154
France;943899;983766;1021931;1065423;1093033;1101640;0;0;1150297;1164822;1157679;1204201;1234996;1277193;1246608;1265330;723852;894397;1142410
Croatia;36600;39706;46044;62973;70800;73402;69421;49852;27576;24216;21889;21649;20709;19803;20244;19827;13100;13534;18581
Italy;728177;759863;753536;774480;802440;799873;838892;0;854836;854756;864123;872623;869199;864570;882243;898472;389883;491782;693604
Latvia;23825;25915;27387;27380;26702;21504;20804;20447;19707;19730;19190;17065;17228;17494;18242;18623;12862;11194;15694
Lithuania;6282;6081;5489;4478;4447;3819;3795;4127;4251;4346;4126;3790;3916;4176;4665;4991;3238;3948;4464
Luxembourg;13520;13937;14793;16442;17676;17039;17995;18200;19691;20549;21503;22496;22459;22930;23331;25016;14527;16595;22038
Hungary;159991;153508;156628;149551;144900;142690;140398;145561;147688;148379;146010;0;0;0;0;0;0;0;0
Netherlands;326953;339020;347831;368034;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Austria;215083;220116;223931;228488;236789;237658;239974;241526;260518;271888;270913;280060;286990;288503;307647;314892;191272;217501;292479
Poland;265677;251383;254777;265995;272859;264177;241976;239054;266011;262382;260260;269664;285094;295394;0;0;0;0;0
Portugal;152786;151384;150365;156712;158455;153794;152997;149189;132212;126079;128295;130421;133472;142127;147581;175511;102247;120702;171653
Romania;99433;92424;94441;88263;78252;70332;64272;60971;57530;57393;64751;66479;64455;69056;66500;69707;50559;54937;70464
Slovenia;14455;15402;15750;15716;16257;15971;15782;15317;15086;15995;14435;14135;13650;13002;13105;13259;7924;11663;13909
Slovakia;50325;50458;48438;46984;48655;46597;46509;47453;44609;45946;49098;60292;69150;74916;77265;80671;49421;45858;66705
Finland;60134;63493;63803;66685;69937;67555;68950;68376;69331;69318;68262;75952;82114;85703;87502;92801;59550;55009;76089
Sweden;146615;150058;159067;169061;178929;179095;179343;187055;193163;200706;207280;214434;220945;229817;246490;264603;169163;164490;243972
Liechtenstein;119;120;121;97;97;97;96;96;96;96;97;950;936;855;940;1081;479;710;1601
Norway;50650;52559;54695;56808;59071;57937;59304;59384;62689;67251;70341;73836;74293;73561;77740;80402;42599;41401;66695
